brand,model,submodel,year,age,mileage,mileage_per_year,mileage_missing,gear,engine,color,price,priceType,sourceName,sourceType,sourceUrl,externalId,dateRecorded,created_at,updated_at,id
HONDA,JAZZ,S,2022,3,100000,33333.33333,1,UNKNOWN,UNKNOWN,UNKNOWN,309500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17027
HONDA,FREED,UNKNOWN,2012,13,260000,20000,0,AUTO,UNKNOWN,ขาว,308000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1879
HONDA,JAZZ,SV,2013,12,137367.5,11447.29167,1,AT,UNKNOWN,UNKNOWN,181000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17073
HONDA,JAZZ,SV,2014,11,162786,14798.72727,1,AT,UNKNOWN,UNKNOWN,229500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17068
HONDA,JAZZ,SV,2015,10,137949.5,13794.95,1,AT,UNKNOWN,UNKNOWN,269000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17062
HONDA,JAZZ,SV,2016,9,61866,6874,1,AT,UNKNOWN,UNKNOWN,294000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17057
HONDA,JAZZ,SV+,2016,9,61866,6874,1,AT,UNKNOWN,UNKNOWN,301500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17058
HONDA,JAZZ,SV+,2017,8,100000,12500,1,AT,UNKNOWN,UNKNOWN,324500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17052
HONDA,FREED,UNKNOWN,2012,13,180000,13846.15385,0,AUTO,UNKNOWN,ขาว,309000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1609
HONDA,JAZZ,V,2013,12,137367.5,11447.29167,1,AT,UNKNOWN,UNKNOWN,183500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17074
HONDA,JAZZ,V,2014,11,162786,14798.72727,1,AT,UNKNOWN,UNKNOWN,210000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17069
HONDA,JAZZ,V,2015,10,137949.5,13794.95,1,AT,UNKNOWN,UNKNOWN,255000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17063
HONDA,JAZZ,V,2016,9,61866,6874,1,AT,UNKNOWN,UNKNOWN,258000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17059
HONDA,JAZZ,V,2017,8,100000,12500,1,AT,UNKNOWN,UNKNOWN,271000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17053
HONDA,JAZZ,V,2019,6,105000,17500,1,AT,UNKNOWN,UNKNOWN,312000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17043
HONDA,JAZZ,V,2020,5,55000,11000,1,AT,UNKNOWN,UNKNOWN,332500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17038
HONDA,JAZZ,V,2021,4,100000,25000,1,AT,UNKNOWN,UNKNOWN,345500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17034
HONDA,JAZZ,V,2022,3,100000,33333.33333,1,UNKNOWN,UNKNOWN,UNKNOWN,370000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17028
HONDA,JAZZ,V+,2015,10,137949.5,13794.95,1,AT,UNKNOWN,UNKNOWN,267000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17064
HONDA,JAZZ,V+,2017,8,100000,12500,1,AT,UNKNOWN,UNKNOWN,290500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17054
HONDA,JAZZ,V+,2018,7,160000,22857.14286,1,AT,UNKNOWN,UNKNOWN,318500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17049
HONDA,JAZZ,V+,2019,6,105000,17500,1,AT,UNKNOWN,UNKNOWN,336000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17044
HONDA,JAZZ,V+,2020,5,55000,11000,1,AT,UNKNOWN,UNKNOWN,354500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17039
HONDA,JAZZ,V+,2022,3,100000,33333.33333,1,UNKNOWN,UNKNOWN,UNKNOWN,394000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17029
HONDA,JAZZ,UNKNOWN,2006,19,221303,11647.52632,0,AUTO,UNKNOWN,เทา,115000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1884
HONDA,JAZZ,UNKNOWN,2010,15,225462,15030.8,0,AUTO,UNKNOWN,YELLOW,168000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1367
HONDA,JAZZ,UNKNOWN,2013,12,104735,8727.916667,0,AUTO,UNKNOWN,ดำ,269000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1268
HONDA,JAZZ,UNKNOWN,2013,12,170000,14166.66667,0,AUTO,UNKNOWN,เทา,219000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1661
